"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","0603","17.8mm","23.7mm","17.8mm","23.7mm","17.8mm","23.7mm","T","0.0","0.1uF"
"C4","0603","27.7mm","23.4mm","27.7mm","23.4mm","27.7mm","23.4mm","T","180.0","0.1uF"
"C5","0603","19.1mm","52.0mm","19.1mm","52.0mm","19.1mm","52.0mm","B","270.0","0.1uF"
"C6","0603","26.6mm","50.6mm","26.6mm","50.6mm","26.6mm","50.6mm","B","180.0","0.1uF"
"C7","0805","19.9mm","56.8mm","19.9mm","56.8mm","19.9mm","56.8mm","B","0.0","1.0uF"
"C8","0603","35.4mm","56.5mm","35.4mm","56.5mm","35.4mm","56.5mm","T","0.0","22pF"
"C9","0603","28.8mm","56.6mm","28.8mm","56.6mm","28.8mm","56.6mm","T","180.0","22pF"
"C10","0603","32.2mm","54.0mm","32.2mm","54.0mm","32.2mm","54.0mm","B","0.0","0.1uF"
"C11","0603","22.7mm","42.1mm","22.7mm","42.1mm","22.7mm","42.1mm","B","180.0","0.1uF"
"C12","0603","19.0mm","39.2mm","19.0mm","39.2mm","19.0mm","39.2mm","T","0.0","1nF"
"C13","1206","48.5mm","10.2mm","48.5mm","10.2mm","48.5mm","10.2mm","T","270.0","10uF"
"C14","0603","64.9mm","22.9mm","64.9mm","22.9mm","64.9mm","22.9mm","T","270.0","10nF"
"C15","0603","48.4mm","15.6mm","48.4mm","15.6mm","48.4mm","15.6mm","T","180.0","10nF"
"C16","0603","62.5mm","13.1mm","62.5mm","13.1mm","62.5mm","13.1mm","T","180.0","1nF"
"C17","1206","52.6mm","19.6mm","52.6mm","19.6mm","52.6mm","19.6mm","T","0.0","10uF"
"C18","1206","72.1mm","11.4mm","72.1mm","11.4mm","72.1mm","11.4mm","T","270.0","10uF"
"C19","1206","82.0mm","15.2mm","82.0mm","15.2mm","82.0mm","15.2mm","T","0.0","10uF"
"C20","1206","82.3mm","11.2mm","82.3mm","11.2mm","82.3mm","11.2mm","T","0.0","10uF"
"C21","0603","51.9mm","24.6mm","51.9mm","24.6mm","51.9mm","24.6mm","T","0.0","10nF"
"C22","1206","67.8mm","28.7mm","67.8mm","28.7mm","67.8mm","28.7mm","T","270.0","10uF"
"C23","1206","77.0mm","23.9mm","77.0mm","23.9mm","77.0mm","23.9mm","T","0.0","10uF"
"C24","1206","78.0mm","29.2mm","78.0mm","29.2mm","78.0mm","29.2mm","T","0.0","10uF"
"C25","0603","29.6mm","74.9mm","29.6mm","74.9mm","29.6mm","74.9mm","T","270.0","0.1uF"
"C26","0805","33.1mm","75.0mm","33.1mm","75.0mm","33.1mm","75.0mm","T","270.0","1.0uF"
"C27","0603","24.8mm","84.3mm","24.8mm","84.3mm","24.8mm","84.3mm","T","0.0","10nF"
"C28","0805","24.9mm","77.4mm","24.9mm","77.4mm","24.9mm","77.4mm","T","0.0","2.2uF"
"C29","0603","38.7mm","86.1mm","38.7mm","86.1mm","38.7mm","86.1mm","T","0.0","0.1uF"
"C30","0603","25.6mm","86.9mm","25.6mm","86.9mm","25.6mm","86.9mm","T","180.0","0.1uF"
"C31","0805","24.9mm","75.2mm","24.9mm","75.2mm","24.9mm","75.2mm","T","180.0","2.2uF"
"C32","0603","25.5mm","90.4mm","25.5mm","90.4mm","25.5mm","90.4mm","T","0.0","18pF"
"C33","0603","36.9mm","90.5mm","36.9mm","90.5mm","36.9mm","90.5mm","T","0.0","18pF"
"C34","0603","60.4mm","59.8mm","60.4mm","59.8mm","60.4mm","59.8mm","T","135.0","0.1uF"
"C35","0603","47.9mm","56.1mm","47.9mm","56.1mm","47.9mm","56.1mm","T","180.0","0.1uF"
"C36","0603","57.3mm","49.2mm","57.3mm","49.2mm","57.3mm","49.2mm","T","0.0","22pF"
"C37","0603","51.3mm","49.2mm","51.3mm","49.2mm","51.3mm","49.2mm","T","180.0","22pF"
"C38","0603","64.8mm","74.3mm","64.8mm","74.3mm","64.8mm","74.3mm","T","180.0","0.1uF"
"C39","0603","69.4mm","80.2mm","69.4mm","80.2mm","69.4mm","80.2mm","T","180.0","1.0uF"
"C40","0603","72.9mm","87.1mm","72.9mm","87.1mm","72.9mm","87.1mm","T","0.0","30pF"
"C41","0603","78.2mm","87.1mm","78.2mm","87.1mm","78.2mm","87.1mm","T","180.0","30pF"
"C42","0603","73.3mm","79.5mm","73.3mm","79.5mm","73.3mm","79.5mm","T","90.0","0.1uF"
"C43","1206","84.6mm","44.7mm","84.6mm","44.7mm","84.6mm","44.7mm","T","0.0","10uF"
"D1","LED-1206","40.7mm","11.7mm","40.7mm","11.7mm","40.7mm","11.7mm","T","180.0","GREEN"
"D2","SOT363","21.3mm","87.1mm","21.3mm","87.1mm","21.3mm","87.1mm","B","0.0","BAV99S"
"D3","SOT363","15.6mm","64.2mm","15.6mm","64.2mm","15.6mm","64.2mm","B","0.0","BAV99S"
"D4","LED-0603","47.9mm","58.5mm","47.9mm","58.5mm","47.9mm","58.5mm","T","180.0","RED"
"D5","LED-0603","91.1mm","65.9mm","91.1mm","65.9mm","91.1mm","65.9mm","T","180.0","RED"
"D6","LED-0603","91.1mm","67.4mm","91.1mm","67.4mm","91.1mm","67.4mm","T","180.0","RED"
"D7","LED-0603","91.1mm","68.8mm","91.1mm","68.8mm","91.1mm","68.8mm","T","180.0","RED"
"D8","LED-0603","91.1mm","70.2mm","91.1mm","70.2mm","91.1mm","70.2mm","T","180.0","RED"
"D9","LED-0603","91.1mm","71.6mm","91.1mm","71.6mm","91.1mm","71.6mm","T","180.0","RED"
"IC1","QFN28-5X5","21.9mm","47.0mm","21.9mm","47.0mm","21.9mm","47.0mm","T","270.0","ADS1293"
"IC2","SOIC127P602X168-9N","54.9mm","13.7mm","54.9mm","13.7mm","54.9mm","13.7mm","T","0.0","LP3878MR-ADJ_NOPB"
"L1","0805","76.7mm","14.4mm","76.7mm","14.4mm","76.7mm","14.4mm","T","0.0","3.3µH/±20%/450mA"
"L2","0805","76.8mm","11.5mm","76.8mm","11.5mm","76.8mm","11.5mm","T","0.0","3.3µH/±20%/450mA"
"L3","0805","71.0mm","27.0mm","71.0mm","27.0mm","71.0mm","27.0mm","T","0.0","3.3µH/±20%/450mA"
"L4","0805","71.0mm","30.3mm","71.0mm","30.3mm","71.0mm","30.3mm","T","0.0","3.3µH/±20%/450mA"
"R1","0603","27.5mm","35.7mm","27.5mm","35.7mm","27.5mm","35.7mm","T","0.0","0"
"R2","0603","23.8mm","53.7mm","23.8mm","53.7mm","23.8mm","53.7mm","B","180.0","1M"
"R3","0603","30.5mm","47.1mm","30.5mm","47.1mm","30.5mm","47.1mm","T","0.0","51"
"R4","0603","30.5mm","49.8mm","30.5mm","49.8mm","30.5mm","49.8mm","T","0.0","51"
"R5","0603","34.3mm","49.8mm","34.3mm","49.8mm","34.3mm","49.8mm","T","0.0","1M"
"R6","0603","26.8mm","44.1mm","26.8mm","44.1mm","26.8mm","44.1mm","T","0.0","1M"
"R7","0603","27.9mm","41.1mm","27.9mm","41.1mm","27.9mm","41.1mm","T","0.0","1M"
"R8","0603","14.9mm","39.2mm","14.9mm","39.2mm","14.9mm","39.2mm","T","180.0","10k"
"R9","0603","19.0mm","42.2mm","19.0mm","42.2mm","19.0mm","42.2mm","T","180.0","10M"
"R10","0603","12.3mm","52.1mm","12.3mm","52.1mm","12.3mm","52.1mm","T","0.0","0"
"R11","0603","12.3mm","49.5mm","12.3mm","49.5mm","12.3mm","49.5mm","T","0.0","0"
"R12","0603","12.3mm","47.0mm","12.3mm","47.0mm","12.3mm","47.0mm","T","0.0","0"
"R13","0603","12.3mm","44.5mm","12.3mm","44.5mm","12.3mm","44.5mm","T","0.0","0"
"R14","0603","12.3mm","41.9mm","12.3mm","41.9mm","12.3mm","41.9mm","T","0.0","0"
"R15","0603","24.1mm","39.8mm","24.1mm","39.8mm","24.1mm","39.8mm","T","0.0","0"
"R16","0603","56.8mm","9.0mm","56.8mm","9.0mm","56.8mm","9.0mm","T","0.0","0"
"R17","0603","62.5mm","11.0mm","62.5mm","11.0mm","62.5mm","11.0mm","T","0.0","2.55k"
"R18","0603","62.5mm","15.3mm","62.5mm","15.3mm","62.5mm","15.3mm","T","180.0","1k"
"R19","0603","40.1mm","8.5mm","40.1mm","8.5mm","40.1mm","8.5mm","T","180.0","4.7k"
"R20","0603","87.8mm","15.1mm","87.8mm","15.1mm","87.8mm","15.1mm","T","0.0","0"
"R21","0603","88.0mm","10.7mm","88.0mm","10.7mm","88.0mm","10.7mm","T","0.0","0"
"R22","0603","51.9mm","26.9mm","51.9mm","26.9mm","51.9mm","26.9mm","T","180.0","75k"
"R23","0603","51.9mm","22.3mm","51.9mm","22.3mm","51.9mm","22.3mm","T","0.0","47k"
"R24","0603","58.1mm","20.6mm","58.1mm","20.6mm","58.1mm","20.6mm","T","0.0","0"
"R25","0603","45.4mm","11.6mm","45.4mm","11.6mm","45.4mm","11.6mm","T","180.0","0"
"R26","0603","47.8mm","19.5mm","47.8mm","19.5mm","47.8mm","19.5mm","T","180.0","0"
"R27","0603","82.6mm","24.0mm","82.6mm","24.0mm","82.6mm","24.0mm","T","0.0","0"
"R28","0603","82.6mm","29.0mm","82.6mm","29.0mm","82.6mm","29.0mm","T","0.0","0"
"R29","0603","24.9mm","81.8mm","24.9mm","81.8mm","24.9mm","81.8mm","T","0.0","1k"
"R30","0603","20.4mm","82.1mm","20.4mm","82.1mm","20.4mm","82.1mm","T","0.0","0"
"R31","0603","20.3mm","83.8mm","20.3mm","83.8mm","20.3mm","83.8mm","T","0.0","0"
"R32","0603","19.6mm","68.6mm","19.6mm","68.6mm","19.6mm","68.6mm","T","0.0","0"
"R33","0603","19.6mm","67.0mm","19.6mm","67.0mm","19.6mm","67.0mm","T","0.0","0"
"R34","0603","29.3mm","89.5mm","29.3mm","89.5mm","29.3mm","89.5mm","T","90.0","0"
"R35","0603","33.5mm","89.5mm","33.5mm","89.5mm","33.5mm","89.5mm","T","270.0","0"
"R36","0603","38.7mm","84.0mm","38.7mm","84.0mm","38.7mm","84.0mm","T","0.0","10"
"R37","0603","38.8mm","81.8mm","38.8mm","81.8mm","38.8mm","81.8mm","T","180.0","10k"
"R38","0603","35.9mm","88.0mm","35.9mm","88.0mm","35.9mm","88.0mm","T","0.0","130"
"R39","0603","35.1mm","86.1mm","35.1mm","86.1mm","35.1mm","86.1mm","T","0.0","130"
"R40","0603","27.4mm","73.7mm","27.4mm","73.7mm","27.4mm","73.7mm","T","270.0","130"
"R41","0603","24.9mm","79.2mm","24.9mm","79.2mm","24.9mm","79.2mm","T","180.0","130"
"R42","0603","21.4mm","79.2mm","21.4mm","79.2mm","21.4mm","79.2mm","T","180.0","130"
"R43","0603","21.3mm","77.4mm","21.3mm","77.4mm","21.3mm","77.4mm","T","180.0","130"
"R44","0603","47.9mm","60.6mm","47.9mm","60.6mm","47.9mm","60.6mm","T","0.0","4.7k"
"R45","0603","69.4mm","78.5mm","69.4mm","78.5mm","69.4mm","78.5mm","T","180.0","1"
"R46","0603","65.5mm","78.5mm","65.5mm","78.5mm","65.5mm","78.5mm","T","0.0","10k"
"R47","0603","83.5mm","71.7mm","83.5mm","71.7mm","83.5mm","71.7mm","T","0.0","10"
"R48","0603","83.5mm","73.4mm","83.5mm","73.4mm","83.5mm","73.4mm","T","0.0","10"
"R49","0603","83.4mm","75.0mm","83.4mm","75.0mm","83.4mm","75.0mm","T","0.0","10"
"R50","0603","86.8mm","59.0mm","86.8mm","59.0mm","86.8mm","59.0mm","T","0.0","1k"
"R51","0603","86.8mm","61.0mm","86.8mm","61.0mm","86.8mm","61.0mm","T","0.0","1k"
"R52","0603","91.0mm","62.0mm","91.0mm","62.0mm","91.0mm","62.0mm","T","0.0","1k"
"R53","0603","91.0mm","60.2mm","91.0mm","60.2mm","91.0mm","60.2mm","T","0.0","1k"
"R54","0603","91.0mm","58.5mm","91.0mm","58.5mm","91.0mm","58.5mm","T","0.0","1k"
"U$5","SOIC16","54.5mm","55.4mm","54.5mm","55.4mm","54.5mm","55.4mm","T","270.0","CH340G"
"U1","SOT223","22.7mm","19.4mm","22.7mm","19.4mm","22.7mm","19.4mm","T","0.0",""
"U2","SOP65P490X110-9N","58.3mm","24.1mm","58.3mm","24.1mm","58.3mm","24.1mm","T","0.0","TPS7A4901DGNR"
"U3","RHA40_4P15X4P15","31.9mm","81.0mm","31.9mm","81.0mm","31.9mm","81.0mm","T","0.0","AFE4400_RHA_40"
"U4","QFP50P1200X1200X120-64N","74.0mm","70.6mm","74.0mm","70.6mm","74.0mm","70.6mm","T","0.0","MSP430F149IPAG"
"Y2","CRYSTAL-SMD-5X3.2-4PAD","31.4mm","94.8mm","31.4mm","94.8mm","31.4mm","94.8mm","T","0.0","8MHz"
"Y3","CRYSTAL-SMD-5X3.2-4PAD","54.6mm","46.5mm","54.6mm","46.5mm","54.6mm","46.5mm","T","0.0","12MHz"
"Y4","CRYSTAL-SMD-3.2X1.5MM","59.7mm","71.1mm","59.7mm","71.1mm","59.7mm","71.1mm","T","90.0","32.768kHz"
"Y5","CRYSTAL-SMD-5X3.2-4PAD","75.5mm","90.7mm","75.5mm","90.7mm","75.5mm","90.7mm","T","180.0","8MHz"
